file,No,variable,source,used,match
experiment_csv,14,L_km,1.15,1.15,True
experiment_csv,15,L_km,2.17,2.17,True
experiment_csv,16,L_km,1.46,1.46,True
experiment_csv,17,L_km,1.12,1.12,True
experiment_csv,18,L_km,1.26,1.26,True
experiment_csv,19,L_km,0.78,0.78,True
experiment_csv,20,L_km,2.8,2.8,True
experiment_csv,21,L_km,0.68,0.68,True
experiment_csv,22,L_km,0.74,0.74,True
experiment_csv,23,L_km,0.67,0.67,True
experiment_csv,24,L_km,0.84,0.84,True
experiment_csv,25,L_km,0.74,0.74,True
experiment_csv,26,L_km,4.9,4.9,True
experiment_csv,27,L_km,2.59,2.59,True
experiment_csv,28,L_km,3.66,3.66,True
experiment_csv,29,L_km,4.02,4.02,True
experiment_csv,30,L_km,2.08,2.08,True
experiment_csv,31,L_km,4.98,4.98,True
experiment_csv,32,L_km,5.6,5.6,True
experiment_csv,33,L_km,3.6,3.6,True
experiment_csv,34,L_km,5.82,5.82,True
experiment_csv,35,L_km,2.72,2.72,True
experiment_csv,36,L_km,14.2,14.2,True
experiment_csv,37,L_km,1.58,1.58,True
experiment_csv,38,L_km,5.2,5.2,True
experiment_csv,39,L_km,2.68,2.68,True
experiment_csv,40,L_km,3.4,3.4,True
experiment_csv,41,L_km,1.14,1.14,True
experiment_csv,42,L_km,5.51,5.51,True
experiment_csv,43,L_km,6.2,6.2,True
experiment_csv,44,L_km,3.25,3.25,True
experiment_csv,45,L_km,1.87,1.87,True
experiment_csv,46,L_km,2.1,2.1,True
experiment_csv,47,L_km,8.9,8.9,True
experiment_csv,48,L_km,1.3,1.3,True
experiment_csv,49,L_km,4.45,4.45,True
experiment_csv,50,L_km,2.44,2.44,True
experiment_csv,51,L_km,2.35,2.35,True
experiment_csv,52,L_km,1.95,1.95,True
experiment_csv,53,L_km,4.76,4.76,True
experiment_csv,54,L_km,1.21,1.21,True
experiment_csv,55,L_km,1.26,1.26,True
experiment_csv,56,L_km,1.35,1.35,True
experiment_csv,57,L_km,1.98,1.98,True
experiment_csv,58,L_km,4.01,4.01,True
experiment_csv,59,L_km,4.51,4.51,True
experiment_csv,60,L_km,11.92,11.92,True
experiment_csv,1,D_km,1.46,1.46,True
experiment_csv,2,D_km,2.87,2.87,True
experiment_csv,3,D_km,3.19,3.19,True
experiment_csv,4,D_km,0.57,0.57,True
experiment_csv,5,D_km,0.06,0.06,True
experiment_csv,6,D_km,4.42,4.42,True
experiment_csv,7,D_km,0.88,0.88,True
experiment_csv,8,D_km,2.08,2.08,True
experiment_csv,9,D_km,2.54,2.54,True
experiment_csv,10,D_km,1.44,1.44,True
experiment_csv,11,D_km,0.85,0.85,True
experiment_csv,12,D_km,0.46,0.46,True
experiment_csv,13,D_km,3.42,3.42,True
experiment_csv,14,D_km,2.52,2.52,True
experiment_csv,15,D_km,1.6,1.6,True
experiment_csv,16,D_km,8.86,8.86,True
experiment_csv,17,D_km,10.16,10.16,True
experiment_csv,18,D_km,5.3,5.3,True
experiment_csv,19,D_km,2.5,2.5,True
experiment_csv,20,D_km,5.5,5.5,True
experiment_csv,21,D_km,0.26,0.26,True
experiment_csv,22,D_km,1.55,1.55,True
experiment_csv,23,D_km,1.29,1.29,True
