feature,mean_abs_SHAP,share
A_km2,0.15954851743735718,0.21500656317653882
H_m,0.12495435727415329,0.16838769386871502
L_km,0.12610526840994296,0.16993865436526054
D_km,0.026196522396237876,0.03530226628275481
J_permille,0.03379496156650351,0.045541874382819064
V_landslide_1e4m3,0.2714638480030943,0.3658229479239117
