number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
11,0.8388109785675802,2026-09-15 18:18:14.766397,2026-09-15 18:18:14.849398,0 days 00:00:00.083001,0.9906255391373828,0.03078767048703011,8,169,0.0052338654413536185,0.03314380351894007,0.7396400599769466,COMPLETE
12,0.8368614164593993,2026-09-15 18:18:14.849398,2026-09-15 18:18:14.909397,0 days 00:00:00.059999,0.9964665148215501,0.02923023314589552,6,157,0.014693500481287303,0.019097122062718158,0.7582418117879616,COMPLETE
13,0.8357519589428507,2026-09-15 18:18:14.909397,2026-09-15 18:18:14.986398,0 days 00:00:00.077001,0.9891204379408267,0.021955112556675753,7,193,0.025656291830623904,0.00992416954033706,0.7954044058091034,COMPLETE
14,0.8188817376410434,2026-09-15 18:18:14.987397,2026-09-15 18:18:15.063399,0 days 00:00:00.076002,0.9916118550101461,0.012117361641654823,6,204,0.012010163373339525,0.17963436203862235,0.838961958550073,COMPLETE
15,0.8273083966418899,2026-09-15 18:18:15.063399,2026-09-15 18:18:15.132398,0 days 00:00:00.068999,0.991929404144022,0.03361858673249013,7,140,0.0015719345926697096,0.009654229587789267,0.7278927661610018,COMPLETE
16,0.8320636361743329,2026-09-15 18:18:15.132398,2026-09-15 18:18:15.226396,0 days 00:00:00.093998,0.9410198208158623,0.01596570761345511,6,242,0.003269604350338105,0.00825650914632721,0.8434764371285236,COMPLETE
17,0.8274401318026393,2026-09-15 18:18:15.226396,2026-09-15 18:18:15.296400,0 days 00:00:00.070004,0.8487700285253466,0.034046214600994294,8,161,0.018787753806686788,0.03641215139834719,0.7138067817931195,COMPLETE
18,0.834978634441112,2026-09-15 18:18:15.296400,2026-09-15 18:18:15.332054,0 days 00:00:00.035654,0.9456739519245397,0.11117480505189554,5,69,0.07079953139332046,0.388356956157837,0.7827592916751958,COMPLETE
19,0.782772887529667,2026-09-15 18:18:15.332054,2026-09-15 18:18:15.433054,0 days 00:00:00.101000,0.6496738419784016,0.015386848245552687,7,252,0.002871775139202622,0.10186942762979408,0.8752659452196612,COMPLETE
20,0.8039266160765908,2026-09-15 18:18:15.433054,2026-09-15 18:18:15.496667,0 days 00:00:00.063613,0.8296576391287881,0.028600856522521957,6,175,0.03678769001200027,0.004230118992681547,0.9959473575103286,COMPLETE
21,0.8347245902945617,2026-09-15 18:18:15.496667,2026-09-15 18:18:15.582374,0 days 00:00:00.085707,0.9968265278535682,0.019189996810229103,7,199,0.01957263464711258,0.015019130428805746,0.7797649985615558,COMPLETE
22,0.8009325439473566,2026-09-15 18:18:15.582374,2026-09-15 18:18:15.631374,0 days 00:00:00.049000,0.948735204553957,0.04937969858634486,8,114,0.11833910700046399,0.019333713039878353,0.6798305641963538,COMPLETE
23,0.8357867075354347,2026-09-15 18:18:15.631374,2026-09-15 18:18:15.728374,0 days 00:00:00.097000,0.9505451385408542,0.02245330255682059,7,228,0.009890031073503043,0.005130617484240409,0.8308727072303407,COMPLETE
24,0.8329773869772907,2026-09-15 18:18:15.728374,2026-09-15 18:18:15.833384,0 days 00:00:00.105010,0.9443757985614101,0.03943955321119145,6,254,0.006953415933311604,0.004053331289379591,0.749262911490348,COMPLETE
25,0.8403276469471613,2026-09-15 18:18:15.833384,2026-09-15 18:18:15.948386,0 days 00:00:00.115002,0.8703463441772619,0.02716000374063732,8,301,0.011537325691559106,0.0010233832339549714,0.8333944271666712,COMPLETE
26,0.8350322319102806,2026-09-15 18:18:15.948386,2026-09-15 18:18:16.064382,0 days 00:00:00.115996,0.861902769910498,0.028530274494437142,8,303,0.004194388402739421,0.0010853341637743865,0.8973920896849704,COMPLETE
27,0.7208183217091415,2026-09-15 18:18:16.064382,2026-09-15 18:18:16.165942,0 days 00:00:00.101560,0.8184827973363242,0.016406332845006706,4,383,0.1061292491208103,9.980460961060723,0.6416235225044244,COMPLETE
28,0.8311487582968379,2026-09-15 18:18:16.166942,2026-09-15 18:18:16.279942,0 days 00:00:00.113000,0.9134847962452799,0.043861942118554445,8,347,0.002082815097756157,0.08277726362687546,0.7396282990266435,COMPLETE
29,0.7110991128505376,2026-09-15 18:18:16.279942,2026-09-15 18:18:16.323610,0 days 00:00:00.043668,0.7555253753148145,0.10748745291202619,7,156,1.2049619537782896,0.34487718183173977,0.9376775755929565,COMPLETE
30,0.8027232607593765,2026-09-15 18:18:16.323610,2026-09-15 18:18:16.401310,0 days 00:00:00.077700,0.8022326677533436,0.02891821763042131,5,286,0.16466112467071212,0.06986827581584659,0.8661897060568727,COMPLETE
31,0.834334268334505,2026-09-15 18:18:16.401310,2026-09-15 18:18:16.490282,0 days 00:00:00.088972,0.964441815344068,0.01923246991467962,7,235,0.008630534745213164,0.004659255875487571,0.8098881395902131,COMPLETE
32,0.8376972392826613,2026-09-15 18:18:16.490282,2026-09-15 18:18:16.576282,0 days 00:00:00.086000,0.9231110032568008,0.02556000855711486,7,229,0.016425585763174506,0.001689435340706902,0.8224393064036015,COMPLETE
33,0.8306742961021802,2026-09-15 18:18:16.576282,2026-09-15 18:18:16.686562,0 days 00:00:00.110280,0.9152011637257749,0.030570731536771943,8,275,0.014425144244239222,0.00103537439590206,0.7043005906731761,COMPLETE
34,0.8367173085342255,2026-09-15 18:18:16.686562,2026-09-15 18:18:16.805579,0 days 00:00:00.119017,0.8729559165494085,0.01304411310367265,7,332,0.04078461466419824,0.0020429425753157805,0.7589099305500575,COMPLETE
35,0.8222369689573533,2026-09-15 18:18:16.805579,2026-09-15 18:18:16.851565,0 days 00:00:00.045986,0.9692918607456272,0.0379607679015386,8,89,0.005221208056931319,0.0027144421718841524,0.9129887242272958,COMPLETE
36,0.7743264190080342,2026-09-15 18:18:16.851565,2026-09-15 18:18:16.892565,0 days 00:00:00.041000,0.9204715344041295,0.2286166778240555,6,128,0.027027851256473275,0.022671837273222695,0.8240186116562761,COMPLETE
37,0.8296084669730129,2026-09-15 18:18:16.892565,2026-09-15 18:18:16.952567,0 days 00:00:00.060002,0.8756154285849047,0.05340406218548461,8,170,0.06456677561554465,0.0017383683844991863,0.7641747825713675,COMPLETE
38,0.7265494037739493,2026-09-15 18:18:16.952567,2026-09-15 18:18:17.041566,0 days 00:00:00.088999,0.7763771140179005,0.024329425987344392,7,382,0.7842371913899259,0.006707516446660433,0.642552592961647,COMPLETE
39,0.8029046911203067,2026-09-15 18:18:17.041566,2026-09-15 18:18:17.110566,0 days 00:00:00.069000,0.7328830023546229,0.045942660526039,4,221,0.2105919841019258,0.16673111057782256,0.8657288359834922,COMPLETE
40,0.8163590122644354,2026-09-15 18:18:17.110566,2026-09-15 18:18:17.203566,0 days 00:00:00.093000,0.8925714240517567,0.06573285616170213,5,430,0.006277749662790623,0.0014067060789387264,0.9558229432086465,COMPLETE
41,0.8330371605739392,2026-09-15 18:18:17.203566,2026-09-15 18:18:17.312565,0 days 00:00:00.108999,0.8537891163087592,0.011872845270974656,7,318,0.05503604147878029,0.0024048809945031646,0.7588765950510705,COMPLETE
42,0.8302495336218271,2026-09-15 18:18:17.312565,2026-09-15 18:18:17.431280,0 days 00:00:00.118715,0.9731216468793469,0.014143789422070917,7,349,0.031591757604850834,0.002400371002364678,0.6991282827038365,COMPLETE
43,0.8353875231596675,2026-09-15 18:18:17.431280,2026-09-15 18:18:17.547060,0 days 00:00:00.115780,0.9264340168497468,0.01808410719830571,8,325,0.013009607638936114,0.012580868977558885,0.8041867620606663,COMPLETE
44,0.8351770697096041,2026-09-15 18:18:17.547060,2026-09-15 18:18:17.640925,0 days 00:00:00.093865,0.8947144946213749,0.0245001725903835,6,279,0.04193668863515917,0.001976862967015252,0.7325827278328262,COMPLETE
45,0.7770366327122681,2026-09-15 18:18:17.640925,2026-09-15 18:18:17.746924,0 days 00:00:00.105999,0.5255501879508961,0.013324334774022372,7,300,0.01847162926392493,0.0030917146883526034,0.774189765518636,COMPLETE
46,0.8270032721462076,2026-09-15 18:18:17.747925,2026-09-15 18:18:17.856924,0 days 00:00:00.108999,0.9734605534627325,0.010569454280173205,8,264,0.010011557228067548,0.023533056566859764,0.8536462807259968,COMPLETE
47,0.8403362515553153,2026-09-15 18:18:17.856924,2026-09-15 18:18:17.937925,0 days 00:00:00.081001,0.8717631470640552,0.025433891841472798,6,188,0.0018648436355562998,0.05163427710700946,0.8151423510407121,COMPLETE
48,0.7792709462543507,2026-09-15 18:18:17.937925,2026-09-15 18:18:17.987925,0 days 00:00:00.050000,0.7899115710029382,0.2920563636374128,6,186,0.0013531520433771036,0.05115281276369844,0.8178177522461633,COMPLETE
49,0.8388513118489801,2026-09-15 18:18:17.987925,2026-09-15 18:18:18.049925,0 days 00:00:00.062000,0.8934145172107981,0.03545239330812124,5,146,0.00249291722560085,0.13319486214278975,0.8867904396931314,COMPLETE
50,0.8395536433154943,2026-09-15 18:18:18.049925,2026-09-15 18:18:18.092926,0 days 00:00:00.043001,0.8361612535217586,0.03256319337407543,3,139,0.0022517342132404848,0.7740309624840379,0.8890871983443144,COMPLETE
51,0.8442994171573709,2026-09-15 18:18:18.092926,2026-09-15 18:18:18.140924,0 days 00:00:00.047998,0.8415036509586844,0.03489525078525743,3,142,0.0019223022383343619,1.2977851108471314,0.8828890414455238,COMPLETE
52,0.8297892066684055,2026-09-15 18:18:18.140924,2026-09-15 18:18:18.174925,0 days 00:00:00.034001,0.8391187938159853,0.03662100148940109,3,102,0.002282134165056131,0.9452751026464304,0.9035662236291366,COMPLETE
53,0.8267604662714301,2026-09-15 18:18:18.174925,2026-09-15 18:18:18.223925,0 days 00:00:00.049000,0.8278050237158306,0.059983355988217135,3,140,0.0012476182552271205,0.6680885463305178,0.8841747856421941,COMPLETE
54,0.7835693679675092,2026-09-15 18:18:18.223925,2026-09-15 18:18:18.255925,0 days 00:00:00.032000,0.8079860312953726,0.034204198673152525,2,83,0.0019858509865689146,1.7955228819203755,0.9213017890424888,COMPLETE
55,0.8420423179697267,2026-09-15 18:18:18.255925,2026-09-15 18:18:18.306639,0 days 00:00:00.050714,0.8840035753188791,0.04305802356191387,3,141,0.003572133256812652,0.60228689059452,0.966213985112199,COMPLETE
56,0.8447002631356403,2026-09-15 18:18:18.306639,2026-09-15 18:18:18.356332,0 days 00:00:00.049693,0.8654031758130671,0.044092704398178695,3,146,0.0030405478512573274,0.6382568088379361,0.9611313176746693,COMPLETE
57,0.8499939566570172,2026-09-15 18:18:18.356332,2026-09-15 18:18:18.397333,0 days 00:00:00.041001,0.8656850808780798,0.07838668570228335,3,120,0.00375384369296513,0.5500537871300827,0.976615562143611,COMPLETE
58,0.8534887185866108,2026-09-15 18:18:18.397333,2026-09-15 18:18:18.424332,0 days 00:00:00.026999,0.8739779306730726,0.10068000416412135,2,50,0.00376728891504917,0.5036036503929463,0.9903527630194995,COMPLETE
59,0.8564061653321411,2026-09-15 18:18:18.424332,2026-09-15 18:18:18.452331,0 days 00:00:00.027999,0.8529938018666765,0.0873900399488453,2,61,0.003513898505045629,0.5138126089875782,0.9950424561984891,COMPLETE
60,0.8433934669615687,2026-09-15 18:18:18.452331,2026-09-15 18:18:18.472924,0 days 00:00:00.020593,0.7810012645742185,0.10555249673343438,2,53,0.0035737738349179912,0.4354023057608313,0.9934236745851182,COMPLETE
61,0.8322512352068245,2026-09-15 18:18:18.472924,2026-09-15 18:18:18.497922,0 days 00:00:00.024998,0.6978267556304714,0.10218763552409008,2,50,0.003711650463152301,0.4610993218200165,0.9982822783826518,COMPLETE
62,0.8548870032204814,2026-09-15 18:18:18.497922,2026-09-15 18:18:18.527925,0 days 00:00:00.030003,0.8450204955248287,0.08653161327130394,2,67,0.0010289839406044112,1.6623277847014424,0.9746578153891944,COMPLETE
63,0.8222532587596544,2026-09-15 18:18:18.527925,2026-09-15 18:18:18.557314,0 days 00:00:00.029389,0.7805505890411255,0.08809015565451403,2,67,0.0010917389538532564,1.5953690375216831,0.9765754481376699,COMPLETE
64,0.8301858016903026,2026-09-15 18:18:18.557314,2026-09-15 18:18:18.584314,0 days 00:00:00.027000,0.7279731702109358,0.14019497506556547,2,68,0.0015551805199229317,1.2816649404506817,0.9481613555495029,COMPLETE
65,0.8507186814614592,2026-09-15 18:18:18.584314,2026-09-15 18:18:18.619314,0 days 00:00:00.035000,0.8149678954971251,0.1392999973413441,2,106,0.005253972486753841,0.26825347197446875,0.9848800771868528,COMPLETE
66,0.8309760101256735,2026-09-15 18:18:18.619314,2026-09-15 18:18:18.657315,0 days 00:00:00.038001,0.8139549667958276,0.13811922201133084,3,112,0.005205124158509291,0.21325535965831535,0.9746583898865557,COMPLETE
67,0.8562400670108636,2026-09-15 18:18:18.657315,2026-09-15 18:18:18.690315,0 days 00:00:00.033000,0.8552916729333329,0.08120471714308233,2,82,0.0010131597224626804,0.2887257633643736,0.9310842138318063,COMPLETE
68,0.8613134049258502,2026-09-15 18:18:18.690315,2026-09-15 18:18:18.716313,0 days 00:00:00.025998,0.8515185643166462,0.07892085822490753,2,85,0.0010045586083808461,0.29507948550943397,0.9345229599571717,COMPLETE
69,0.8619531300953652,2026-09-15 18:18:18.716313,2026-09-15 18:18:18.746314,0 days 00:00:00.030001,0.8560620555584423,0.083340945033204,2,83,0.001095763698305694,0.2956003263735772,0.9297063050149268,COMPLETE
70,0.8731105998323213,2026-09-15 18:18:18.746314,2026-09-15 18:18:18.777315,0 days 00:00:00.031001,0.8543107254800649,0.12089549763125879,2,81,0.0014547203567915733,0.3465269898412647,0.9277837301811666,COMPLETE
71,0.8627357413419775,2026-09-15 18:18:18.777315,2026-09-15 18:18:18.805314,0 days 00:00:00.027999,0.8483923917439399,0.09136521232783067,2,80,0.0011109181031257128,0.2739499799617102,0.9189051722480222,COMPLETE
72,0.8668525804288603,2026-09-15 18:18:18.805314,2026-09-15 18:18:18.831315,0 days 00:00:00.026001,0.8483327003157145,0.12329744034876705,2,84,0.0010187707309507286,0.30491057827240575,0.9211789331606683,COMPLETE
73,0.870651628330032,2026-09-15 18:18:18.832314,2026-09-15 18:18:18.861885,0 days 00:00:00.029571,0.8523805176030336,0.11857374516914629,2,90,0.0010590396324049864,0.3004488136829721,0.9324196450521622,COMPLETE
74,0.8688447289035569,2026-09-15 18:18:18.861885,2026-09-15 18:18:18.889885,0 days 00:00:00.028000,0.8537170534413252,0.12302570041276914,2,86,0.0014632744354381867,0.30011744277071833,0.924317211561545,COMPLETE
75,0.854752066164513,2026-09-15 18:18:18.889885,2026-09-15 18:18:18.921885,0 days 00:00:00.032000,0.8246427869991066,0.12344688791326021,2,91,0.0014897339187931165,0.3353144780661121,0.9435524009955208,COMPLETE
76,0.8538201190777549,2026-09-15 18:18:18.921885,2026-09-15 18:18:18.951885,0 days 00:00:00.030000,0.8002029110428989,0.17149670670205566,2,78,0.001542296493697633,0.12548023476460965,0.9217127992077552,COMPLETE
77,0.8523878262414434,2026-09-15 18:18:18.951885,2026-09-15 18:18:18.987883,0 days 00:00:00.035998,0.767346952566522,0.1202740126965208,2,125,0.001317667374416898,0.20804702727790372,0.9089818188642447,COMPLETE
78,0.8722901851613117,2026-09-15 18:18:18.987883,2026-09-15 18:18:19.020884,0 days 00:00:00.033001,0.8520595376994182,0.16623823488708134,2,95,0.0016738009868344879,0.13666159661451163,0.9252748392583471,COMPLETE
79,0.1355676256964473,2026-09-15 18:18:19.020884,2026-09-15 18:18:19.048884,0 days 00:00:00.028000,0.8851347841601992,0.16444968486004236,2,76,6.95666833149155,0.0961924660566575,0.9339783770425721,COMPLETE
80,0.8257880877860008,2026-09-15 18:18:19.048884,2026-09-15 18:18:19.077884,0 days 00:00:00.029000,0.6663343536638697,0.17126600370983563,2,95,0.0026222760583133916,0.13691435126140672,0.8998048683579378,COMPLETE
81,0.8513541251373247,2026-09-15 18:18:19.077884,2026-09-15 18:18:19.101884,0 days 00:00:00.024000,0.8531531471600016,0.0680763052818676,2,62,0.0017213000370632843,0.2450483880496803,0.9294325136117121,COMPLETE
82,0.8464762729763399,2026-09-15 18:18:19.101884,2026-09-15 18:18:19.134884,0 days 00:00:00.033000,0.8250700540212716,0.09468678037118215,2,102,0.0012417618416213526,0.17690842828676456,0.9502538080557872,COMPLETE
83,0.8717264480644817,2026-09-15 18:18:19.134884,2026-09-15 18:18:19.168885,0 days 00:00:00.034001,0.8468004981776485,0.12112365435487843,2,94,0.0010500918785690861,0.3399376248025196,0.9215371622022532,COMPLETE
84,0.8657021949373652,2026-09-15 18:18:19.168885,2026-09-15 18:18:19.202885,0 days 00:00:00.034000,0.9066291101287908,0.12043160428872278,2,92,0.001009447900918195,0.3439054370213656,0.9160870836996834,COMPLETE
85,0.8643745481107681,2026-09-15 18:18:19.202885,2026-09-15 18:18:19.237885,0 days 00:00:00.035000,0.9053634724715628,0.1229302642158721,2,109,0.0017191005073812651,0.3468024736516893,0.9153465281396673,COMPLETE
86,0.8600929850561672,2026-09-15 18:18:19.237885,2026-09-15 18:18:19.284886,0 days 00:00:00.047001,0.9084318620812346,0.12090519024214035,3,111,0.0016023081489332817,0.8529015393483044,0.8637131106087904,COMPLETE
87,0.872160386872704,2026-09-15 18:18:19.284886,2026-09-15 18:18:19.325480,0 days 00:00:00.040594,0.9065838090777734,0.1552252774537575,2,127,0.002708678448789526,0.3477731216474439,0.9207181260150131,COMPLETE
88,0.8727809845203497,2026-09-15 18:18:19.325480,2026-09-15 18:18:19.363477,0 days 00:00:00.037997,0.9033702421159423,0.19163194140629805,2,126,0.0026690077027410023,0.3882723372988925,0.8954083160389724,COMPLETE
89,0.8683142822756024,2026-09-15 18:18:19.363477,2026-09-15 18:18:19.455250,0 days 00:00:00.091773,0.9357654615114386,0.20999462352249196,3,496,0.002571660324823759,0.40303596404570685,0.8963164265059709,COMPLETE
90,0.8771940343373134,2026-09-15 18:18:19.455250,2026-09-15 18:18:19.496377,0 days 00:00:00.041127,0.9336557647066998,0.2010739498019181,3,130,0.0027534939266233437,0.21723811091683645,0.8967471202039596,COMPLETE
91,0.8809636596972271,2026-09-15 18:18:19.496377,2026-09-15 18:18:19.535610,0 days 00:00:00.039233,0.935646888642245,0.22391376529583995,4,116,0.0028599797383135604,0.21491077325595384,0.901712540201649,COMPLETE
92,0.8730526788619556,2026-09-15 18:18:19.535610,2026-09-15 18:18:19.616612,0 days 00:00:00.081002,0.9291297575154565,0.20163101389563245,4,467,0.002944805311144033,0.15396255728440442,0.8770953054985794,COMPLETE
93,0.8763521657418325,2026-09-15 18:18:19.616612,2026-09-15 18:18:19.655609,0 days 00:00:00.038997,0.9520396970965765,0.23825461732423733,4,132,0.007426413069192411,0.15241474654622483,0.8743529840355224,COMPLETE
94,0.7953513784714438,2026-09-15 18:18:19.655609,2026-09-15 18:18:19.703610,0 days 00:00:00.048001,0.9314154558714985,0.23484402013602104,4,162,0.007878737888650136,0.07269582831010696,0.8517380615524611,COMPLETE
95,0.8462536935843145,2026-09-15 18:18:19.703610,2026-09-15 18:18:19.747471,0 days 00:00:00.043861,0.959351646314142,0.19645478854317486,4,129,0.004725864436031059,0.1580251961776336,0.8723147407356676,COMPLETE
96,0.8791265361374325,2026-09-15 18:18:19.747471,2026-09-15 18:18:19.787471,0 days 00:00:00.040000,0.9543919651501193,0.26297121358490055,4,117,0.0027632431410141594,0.10526023776079993,0.8747830838345548,COMPLETE
97,0.7901003702851054,2026-09-15 18:18:19.787471,2026-09-15 18:18:19.832471,0 days 00:00:00.045000,0.9503996351368231,0.26225657059155894,4,155,0.003058547228991544,0.09901749876006032,0.8509657831378226,COMPLETE
98,0.8687272809699161,2026-09-15 18:18:19.832471,2026-09-15 18:18:19.881516,0 days 00:00:00.049045,0.9795690543993218,0.18922019422711175,4,179,0.0057997849548290185,0.11313358071733727,0.8754523897383679,COMPLETE
99,0.8741424054932777,2026-09-15 18:18:19.881516,2026-09-15 18:18:19.918516,0 days 00:00:00.037000,0.9226065592022838,0.2511399923540047,4,128,0.002181687362912646,0.2154508201528499,0.894305672542107,COMPLETE
