number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7769152524917443,2026-09-15 18:18:14.093254,2026-09-15 18:18:14.174251,0 days 00:00:00.080997,0.7925993736309812,0.07783901332986014,7,412,0.28047180009988754,0.2477728157046024,0.9134978477687518,COMPLETE
1,0.7454723792447436,2026-09-15 18:18:14.174251,2026-09-15 18:18:14.231253,0 days 00:00:00.057002,0.8953037842648515,0.14086230105880834,4,281,0.3862775154800296,1.0328912887466148,0.6175720950615554,COMPLETE
2,0.7594307489424502,2026-09-15 18:18:14.231253,2026-09-15 18:18:14.309251,0 days 00:00:00.077998,0.7110512339665607,0.05820976563244092,4,398,0.4395162619859531,0.0016319249648730433,0.9350941303846712,COMPLETE
3,0.5594589309750398,2026-09-15 18:18:14.309251,2026-09-15 18:18:14.362758,0 days 00:00:00.053507,0.6053566815640059,0.22664722733221687,8,315,3.3571058028365157,1.1845798755421535,0.5835209927669905,COMPLETE
4,0.7826480226207088,2026-09-15 18:18:14.362758,2026-09-15 18:18:14.388755,0 days 00:00:00.025997,0.830013601555937,0.023780884139472224,2,98,0.048861226279814325,0.002500319751271757,0.6716575769962544,COMPLETE
5,0.8118069877935179,2026-09-15 18:18:14.388755,2026-09-15 18:18:14.416756,0 days 00:00:00.028001,0.7625175663178229,0.03974387440464194,2,124,0.007449965296718298,0.03212663812545211,0.6752956502678226,COMPLETE
6,0.7544901114937411,2026-09-15 18:18:14.416756,2026-09-15 18:18:14.504397,0 days 00:00:00.087641,0.9027511748165677,0.051603858618496964,3,448,0.3504609699379628,3.365352241960741,0.5001716181348506,COMPLETE
7,0.7532167412016122,2026-09-15 18:18:14.504397,2026-09-15 18:18:14.559397,0 days 00:00:00.055000,0.9106622142331124,0.06614345928198062,6,205,0.3714022819580113,2.182738725606096,0.5578166901194267,COMPLETE
8,-0.20154360474906308,2026-09-15 18:18:14.559397,2026-09-15 18:18:14.629397,0 days 00:00:00.070000,0.695794848353545,0.010386986404559085,5,472,9.539047346398517,3.2685041784269466,0.5232244490857656,COMPLETE
9,0.8047101578670239,2026-09-15 18:18:14.629397,2026-09-15 18:18:14.742399,0 days 00:00:00.113002,0.8790506736779873,0.07621744552013046,8,346,0.004424914670296432,3.431194841984967,0.5919027828280884,COMPLETE
10,0.6350974370128507,2026-09-15 18:18:14.742399,2026-09-15 18:18:14.766397,0 days 00:00:00.023998,0.5087911205965947,0.02219339551547854,2,50,0.00100693297384652,0.04395846786905356,0.794505886826211,COMPLETE
