kind,dataset,fold,model,transform,score,budget,best_trial,inner_score,warnings,R2,RMSE,MAE
budget,A,0,RF,raw,R2,30,22,0.911388037541602,0,0.8633396494643774,0.22352541848580693,0.16772693597392294
budget,A,0,RF,raw,R2,100,65,0.9113988447956359,0,0.8641858161546241,0.2228323372473694,0.16832139337149132
budget,A,0,RF,raw,RMSE,30,22,-0.19686329790790394,0,0.8584628093140696,0.2274788044439183,0.1732948838429075
budget,A,0,RF,raw,RMSE,100,81,-0.19596193165149947,0,0.8569835610551767,0.22866443974817283,0.17391381634172853
budget,A,0,XGBoost,raw,R2,30,16,0.9025351832788044,0,0.8263101301120052,0.2519955643638449,0.20254873916480995
budget,A,0,XGBoost,raw,R2,100,75,0.9063109843380417,0,0.8526894846148818,0.23207188292674139,0.18507120506107586
budget,A,0,XGBoost,raw,RMSE,30,25,-0.1992044073907123,0,0.8328200554547895,0.24722804799924347,0.19252186016380565
budget,A,0,XGBoost,raw,RMSE,100,99,-0.19475139408556874,0,0.8277787259593734,0.2509279567773815,0.208122879228391
budget,A,1,RF,raw,R2,30,19,0.865220203942445,0,0.8612256606332432,0.2163292477499163,0.18293991674198604
budget,A,1,RF,raw,R2,100,64,0.8660812505294949,0,0.8624490753315174,0.21537357298329252,0.18206059088508364
budget,A,1,RF,raw,RMSE,30,19,-0.23336923237473037,0,0.8598757916629244,0.21737882743822468,0.18341130496773186
budget,A,1,RF,raw,RMSE,100,50,-0.2327973572969914,0,0.8624531941694431,0.2153703483758113,0.182110151523751
budget,A,1,XGBoost,raw,R2,30,25,0.8403276469471613,0,0.8156944526072786,0.2493043517424462,0.20927197631555727
budget,A,1,XGBoost,raw,R2,100,91,0.8809636596972271,0,0.8095454379197047,0.2534290209669895,0.209706797604156
budget,A,1,XGBoost,raw,RMSE,30,26,-0.23458938485189007,0,0.8049755769161937,0.2564514486978646,0.22463346010491544
budget,A,1,XGBoost,raw,RMSE,100,88,-0.2107326303205345,0,0.7877517818283475,0.2675362789319371,0.22554665812372024
budget,A,2,RF,raw,R2,30,24,0.9020871072727591,0,0.8904397707694279,0.19238651040716256,0.1631989755097065
budget,A,2,RF,raw,R2,100,75,0.9036493069646538,0,0.8912125895066736,0.19170677917430962,0.16073117316244287
