dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
A,1,7,0.9159272116971158,0.85392714,0.34401665713320795,1.3638376138018506,15
A,1,9,0.45024910831936105,0.45687863,-0.053031846027268736,0.966789110641374,15
A,1,10,1.8144473785224877,1.9338803,1.4239698507977587,2.443790807466401,15
A,1,21,0.7275412570285564,0.7633372,0.25342671658526483,1.2732476732539075,15
A,1,23,0.7307822756663892,0.73742974,0.22751925971041742,1.2473402163790601,15
A,1,26,2.1953460583484197,1.9410493,1.4311388590527636,2.450959815721406,15
A,1,29,1.7111320723068417,1.9368224,1.426911936063872,2.4467328927325145,15
A,1,47,0.9527924430440922,0.75789773,0.24798725630770746,1.2678082129763502,15
A,1,50,1.212187604403958,1.3273653,0.8174548008633715,1.8372757575320142,15
A,1,53,0.798650645445269,0.603235,0.09332452799807611,1.1131454846667188,15
A,1,55,0.8998205024270963,0.65651894,0.1466084578229052,1.166429414491548,15
A,1,58,2.2112273656299823,2.7165837,2.206673250455962,3.2264942071246043,15
