dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
Korea,1,6,2.863322860120456,3.1159916,2.714961611472768,3.517021573341685,15
Korea,1,9,3.34966598409663,3.5464551,3.1454251639477437,3.9474851258166606,15
Korea,1,10,3.6869042695681773,3.6052165,3.204186522208852,4.006246484077769,15
Korea,1,12,3.513617073787875,3.3829064,2.9818764559857076,3.7839364178546244,15
Korea,1,23,3.231979026831504,3.116786,2.7157560221783346,3.5178159840472514,15
Korea,1,27,3.1122697684172707,2.9666305,2.5656004778973287,3.3676604397662455,15
Korea,1,28,3.095518042323151,3.3319793,2.9309492938152975,3.7330092556842143,15
Korea,1,29,3.2314695904306814,3.2033446,2.802314602576894,3.604374564445811,15
Korea,1,40,3.119915410257991,3.0335646,2.6325345866314596,3.4345945485003764,15
Korea,1,53,3.3951515915045425,3.1888762,2.787846171104116,3.5899061329730326,15
Korea,1,57,3.3660492098002353,3.3126416,2.911611639701528,3.7136716015704447,15
Korea,1,58,2.741151598851785,2.9977999,2.5967698924175924,3.398829854286509,15
Korea,1,59,2.9095560292411755,2.980943,2.5799129836193746,3.3819729454882914,15
