number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,-0.27465884686005754,2026-09-15 18:24:15.864150,2026-09-15 18:24:15.945127,0 days 00:00:00.080977,0.7925993736309812,0.07783901332986014,7,412,0.28047180009988754,0.2477728157046024,0.9134978477687518,COMPLETE
1,-0.24218796994699746,2026-09-15 18:24:15.945127,2026-09-15 18:24:16.003119,0 days 00:00:00.057992,0.8953037842648515,0.14086230105880834,4,281,0.3862775154800296,1.0328912887466148,0.6175720950615554,COMPLETE
2,-0.2819567659713559,2026-09-15 18:24:16.003119,2026-09-15 18:24:16.079137,0 days 00:00:00.076018,0.7110512339665607,0.05820976563244092,4,398,0.4395162619859531,0.0016319249648730433,0.9350941303846712,COMPLETE
3,-0.3652959069475646,2026-09-15 18:24:16.079137,2026-09-15 18:24:16.129099,0 days 00:00:00.049962,0.6053566815640059,0.22664722733221687,8,315,3.3571058028365157,1.1845798755421535,0.5835209927669905,COMPLETE
4,-0.2538417576307304,2026-09-15 18:24:16.129099,2026-09-15 18:24:16.151103,0 days 00:00:00.022004,0.830013601555937,0.023780884139472224,2,98,0.048861226279814325,0.002500319751271757,0.6716575769962544,COMPLETE
5,-0.23245137058554485,2026-09-15 18:24:16.151103,2026-09-15 18:24:16.181104,0 days 00:00:00.030001,0.7625175663178229,0.03974387440464194,2,124,0.007449965296718298,0.03212663812545211,0.6752956502678226,COMPLETE
6,-0.2205202885375762,2026-09-15 18:24:16.181104,2026-09-15 18:24:16.270104,0 days 00:00:00.089000,0.9027511748165677,0.051603858618496964,3,448,0.3504609699379628,3.365352241960741,0.5001716181348506,COMPLETE
7,-0.23867966258091536,2026-09-15 18:24:16.270104,2026-09-15 18:24:16.315364,0 days 00:00:00.045260,0.9106622142331124,0.06614345928198062,6,205,0.3714022819580113,2.182738725606096,0.5578166901194267,COMPLETE
8,-0.7133706555092817,2026-09-15 18:24:16.315364,2026-09-15 18:24:16.383942,0 days 00:00:00.068578,0.695794848353545,0.010386986404559085,5,472,9.539047346398517,3.2685041784269466,0.5232244490857656,COMPLETE
9,-0.22007810515827267,2026-09-15 18:24:16.383942,2026-09-15 18:24:16.492941,0 days 00:00:00.108999,0.8790506736779873,0.07621744552013046,8,346,0.004424914670296432,3.431194841984967,0.5919027828280884,COMPLETE
10,-0.24254531070013208,2026-09-15 18:24:16.492941,2026-09-15 18:24:16.613950,0 days 00:00:00.121009,0.9907189631427691,0.14169172944202466,8,334,0.0010058711816545657,9.8011727170867,0.7998056571486692,COMPLETE
11,-0.21211101445616365,2026-09-15 18:24:16.613950,2026-09-15 18:24:16.727942,0 days 00:00:00.113992,0.9906255391373828,0.027462179723740585,3,487,0.029844412500317392,0.08142357986731476,0.517103002629431,COMPLETE
12,-0.2265015723930016,2026-09-15 18:24:16.727942,2026-09-15 18:24:16.811941,0 days 00:00:00.083999,0.997951837092481,0.022756669421749656,6,207,0.013192389944126187,0.03403847783143921,0.7582418117879616,COMPLETE
