Region,A_km2,H_m,L_km,D_km,J_permille,V_landslide_1e4m3
Gaochuan,0.15070523328377358,0.14937337381271434,0.11905817400234317,0.02868918729914124,0.03796871754596358,0.2878873919189754
Qingping,0.13492105708647417,0.1362887244033358,0.1572903173832096,0.02230013064807626,0.051825700048072326,0.2517093780882971
Yingxiu,0.13782425910444923,0.08772662841911753,0.13708477327617705,0.023546089360744656,0.030160986170886958,0.2167997447595913
Road 213,0.2200207151159898,0.10333948447388826,0.11491560938519993,0.02440786043245279,0.028071800243156177,0.3424869709556456
Longchi,0.18380575345065953,0.1329235967317421,0.0924350597775157,0.027433746737398994,0.012705420833226257,0.28863259262597635
Beichuan,0.1996187373820024,0.094577077340039,0.17558040473007783,0.029480478027254026,0.052080998456941,0.2704543874227073
