dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
A,4,1,1.0285712526925377,1.0020475,0.6099881985379321,1.3941068789767164,15
A,4,3,0.4471580313422192,0.58891785,0.19685851122866693,0.9809771916674512,15
A,4,13,1.0906107078284066,0.7301068,0.3380474307728869,1.1221661112116712,15
A,4,14,1.8446014196263467,1.91732,1.5252606728268725,2.3093793532656566,15
A,4,16,1.8218409272004543,1.3707671,0.9787077763272387,1.762826456766023,15
A,4,17,2.221022805204841,2.0827978,1.6907384255124194,2.4748571059512035,15
A,4,19,2.0186172925194414,1.999644,1.6075847008420092,2.3917033812807933,15
A,4,38,1.9661886809561373,1.4735854,1.0815260269833666,1.865644707422151,15
A,4,39,1.9501700598082001,1.97351,1.5814506867123705,2.3655693671511546,15
A,4,44,1.1846914308175989,0.9849371,0.5928777315808398,1.376996412019624,15
A,4,45,0.6414741105040995,0.73598325,0.34392391230593744,1.1280425927447217,15
A,4,59,2.494057145221748,2.4439542,2.0518948891354665,2.8360135695742503,15
