dataset,model,n,R2,RMSE,MAE
A,TabPFN,60,0.9215995063486245,0.19195634546011303,0.15185920442229903
A,RF,60,0.8782798845054697,0.23917966448478256,0.18766921257617408
B,TabPFN,60,0.6283552122500216,0.4179334168699696,0.3257606507907145
B,RF,60,0.6872908750733551,0.3833657864420252,0.29619021217329533
Korea,TabPFN,63,0.7425209443157268,0.22629191854441966,0.17963191403886605
Korea,RF,63,0.6185007360742738,0.27545137385475127,0.22840904002065054
