dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
A,2,0,2.0611130539179787,2.1189451,1.6756230420073954,2.562267201522878,15
A,2,2,0.7923916894982539,0.7888941,0.3455720371207682,1.2322161966362508,15
A,2,20,0.8027737252919757,0.8376859,0.39436380328745524,1.2810079628029378,15
A,2,24,0.6730209071288962,0.74487984,0.3015577620467631,1.1882019215622457,15
A,2,30,1.832061614590727,1.9549396,1.5116175240478007,2.398261683563283,15
A,2,31,1.86993541064686,2.0755754,1.6322532719573466,2.518897431472829,15
A,2,33,2.3398884972237473,2.397573,1.9542509144744364,2.840895073989919,15
A,2,34,1.9052560487484513,1.9906954,1.5473732775649516,2.434017437080434,15
A,2,40,0.5587085705331657,1.1523957,0.7090736454925028,1.5957178050079854,15
A,2,51,1.6690378008851559,1.6996298,1.2563077038726298,2.142951863388112,15
A,2,52,1.4661258704181992,1.834757,1.3914348906478373,2.2780790501633197,15
A,2,56,1.1931245983544616,1.0803564,0.6370342797240702,1.5236784392395528,15
