dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
Korea,2,0,4.176698846118572,3.9277463,3.5737775606318536,4.281715031226057,15
Korea,2,2,3.59659709562646,3.5158148,3.1618460458918634,3.8697835164860663,15
Korea,2,7,3.6500159524718385,3.4162574,3.0622886461421075,3.7702261167363105,15
Korea,2,24,3.533772058384718,4.0567236,3.702754859368426,4.410692329962629,15
Korea,2,31,3.670802284260944,3.6876867,3.333717946450335,4.041655417044538,15
Korea,2,33,2.816241299991783,2.9142656,2.560296897332293,3.268234367926496,15
Korea,2,36,3.116939646550756,2.881,2.5270313066645684,3.2349687772587714,15
Korea,2,42,3.817763632280368,3.7665331,3.4125644010706964,4.120501871664899,15
Korea,2,46,2.762678563727436,2.649958,2.295989159981829,3.003926630576032,15
Korea,2,48,3.049605612594973,2.6800685,2.326099757592303,3.034037228186506,15
Korea,2,51,3.161368002234975,2.9733176,2.6193488878413262,3.3272863584355292,15
Korea,2,55,3.5094713521025485,3.7640615,3.4100927156611505,4.118030186255353,15
Korea,2,56,3.7370335313338776,3.6845841,3.3306154054804864,4.038552876074689,15
