dataset,fold,idx,y_true,y_pred,lo,hi,n_cal,lower_m3,upper_m3,observed_m3,backtransformed_prediction_m3
A,2,0,2.0611130539179787,2.1189451,1.6756230420073954,2.562267201522878,15,473830.5323112412,3649784.3238998796,1151099.9999999998,1315058.582602044
A,4,1,1.0285712526925377,1.0020475,0.6099881985379321,1.3941068789767164,15,40736.92078555525,247803.1821122258,106800.00000000001,100472.56739212129
A,2,2,0.7923916894982539,0.7888941,0.3455720371207682,1.2322161966362508,15,22160.116392267068,170693.1907274527,62000.0,61502.688395498655
A,4,3,0.4471580313422192,0.58891785,0.1968585112286669,0.9809771916674512,15,15734.701602114937,95714.38025755223,28000.0,38807.69514337135
A,3,4,2.455438751466413,2.3736806,1.9268493783950191,2.8205118047714848,15,844985.7371744758,6614725.170488711,2853899.999999997,2364180.331750992
A,0,5,2.3286445849439072,2.2988591,1.8649098220043,2.7328084168262663,15,732672.383411391,5405158.29051857,2131300.0000000005,1990027.6011515507
A,0,6,1.7694511794020376,1.6315866,1.197637254255277,2.065535849077243,15,157629.41153963786,1162882.5378213243,588099.9999999999,428140.7840037535
A,1,7,0.9159272116971158,0.85392714,0.3440166571332079,1.3638376138018506,15,22080.894214868018,231120.04521650093,82400.0,71437.64676892714
A,3,8,2.261120063568901,2.3207989,1.8739676607131344,2.7676300870896,15,748113.7909217076,5856391.304008189,1824400.0000000005,2093143.0018368743
A,1,9,0.450249108319361,0.45687863,-0.0530318460272687,0.966789110641374,15,8850.507082868824,92637.98726974837,28199.999999999993,28633.77644954943
A,1,10,1.814447378522488,1.9338803,1.4239698507977587,2.443790807466401,15,265442.128272419,2778374.647860808,652300.0000000005,858776.7933083433
A,0,11,0.895422546039408,0.75414276,0.3201934638194856,1.1880920586414518,15,20902.270504703476,154202.72862355472,78600.00000000001,56773.11976621221
A,0,12,2.903089986991944,2.3944268,1.9604775252513704,2.8283761200733366,15,913014.1855671738,6735597.391431232,8000000.000000011,2479857.9243253367
A,4,13,1.0906107078284066,0.7301068,0.3380474307728869,1.1221661112116712,15,21779.476204089973,132484.81731158984,123200.0,53716.38773684666
A,4,14,1.8446014196263467,1.91732,1.5252606728268725,2.309379353265657,15,335166.55292140006,2038822.1974047425,699200.0000000001,826646.8211202596
A,3,15,1.2581581933407944,1.2798357,0.8330044878005367,1.7266669141770024,15,68077.63934892684,532926.0066028978,181200.00000000006,190473.99904442357
A,4,16,1.8218409272004543,1.3707671,0.9787077763272388,1.762826456766023,15,95215.52718327413,579197.20409685,663500.0,234837.31161984563
A,4,17,2.221022805204841,2.0827978,1.6907384255124194,2.4748571059512035,15,490612.2925818652,2984400.512870118,1663499.999999999,1210034.6311844802
A,3,18,0.9324737646771531,1.47245,1.0256188047408443,1.91928123111731,15,106076.40792121062,830388.3185268219,85599.99999999999,296790.5031098973
A,4,19,2.018617292519441,1.999644,1.6075847008420092,2.3917033812807933,15,405120.94853384263,2464355.6324612144,1043799.9999999985,999180.6155857916
A,2,20,0.8027737252919757,0.8376859,0.3943638032874552,1.2810079628029378,15,24794.982339000853,190988.82761066174,63500.0,68815.44141618637
A,1,21,0.7275412570285564,0.7633372,0.2534267165852648,1.2732476732539075,15,17923.660806669723,187606.41012868928,53400.0,57987.87579292252
A,3,22,0.6344772701607315,0.7716877,0.324856473255096,1.2185188996315617,15,21127.906840071668,165393.67592414815,43099.99999999999,59113.63966989267
A,1,23,0.7307822756663892,0.73742974,0.2275192597104174,1.24734021637906,15,16885.707410791827,176742.1836415938,53800.00000000001,54629.81628185297
A,2,24,0.6730209071288962,0.74487984,0.3015577620467631,1.1882019215622457,15,20024.319313862172,154241.74202538174,47100.0,55575.04717205642
A,3,25,2.817763632280368,2.391486,1.944654716300903,2.838317142677369,15,880348.6778003493,6891553.669680491,6573000.000000002,2463122.4352693153
A,1,26,2.19534605834842,1.9410493,1.4311388590527636,2.450959815721406,15,269860.2131492223,2824618.607301978,1568000.0000000019,873070.4714923422
A,0,27,2.0358698136955526,2.0213888,1.5874394717387972,2.455338066560764,15,386758.1478242527,2853238.4411766087,1086099.9999999998,1050482.4470628344
A,0,28,2.46553155697355,2.313905,1.8799557032756624,2.7478542980976286,15,758500.206355366,5595698.393397383,2921000.000000001,2060179.208873151
A,1,29,1.7111320723068415,1.9368224,1.426911936063872,2.4467328927325145,15,267246.444552323,2797260.3712440347,514199.99999999965,864614.2718775874
A,2,30,1.832061614590727,1.9549396,1.5116175240478007,2.398261683563283,15,324801.1244230248,2501852.395458406,679299.9999999999,901445.7592913171
A,2,31,1.86993541064686,2.0755754,1.6322532719573466,2.518897431472829,15,428798.5143122833,3302915.259628154,741200.0,1190077.9265045887
A,3,32,1.9929950984313416,1.9937103,1.5468790662764889,2.4405414926529545,15,352272.7634433038,2757664.9080703855,984000.0000000002,985621.7985034261
A,2,33,2.3398884972237477,2.397573,1.9542509144744364,2.840895073989919,15,900017.4181462474,6932582.938385472,2187200.0000000033,2497888.220681891
A,2,34,1.9052560487484516,1.9906954,1.5473732775649516,2.434017437080434,15,352673.86518250575,2716548.337047194,804000.0000000005,978803.2439025874
A,0,35,2.7035836760172325,2.4608312,2.0268818679027376,2.894780462724704,15,1063853.6008905617,7848387.957490267,5053400.000000002,2889556.5617384138
A,0,36,1.888179493918325,1.6498973,1.2159480395488558,2.083846634370822,15,164417.49968252372,1212960.4331167021,773000.0000000001,446577.97491849377
A,3,37,2.1775364999298623,2.2101972,1.7633659971236568,2.6570284235001225,15,579917.2097047785,4539713.269789439,1505000.0000000005,1622546.6795307854
A,4,38,1.9661886809561373,1.4735854,1.0815260269833666,1.865644707422151,15,120649.63905675862,733913.2144115678,925100.0000000002,297567.4340237999
A,4,39,1.9501700598082,1.97351,1.5814506867123703,2.365569367151154,15,381461.47761673015,2320434.784559743,891599.9999999995,940827.4931407905
A,2,40,0.5587085705331657,1.1523957,0.7090736454925028,1.5957178050079854,15,51176.86113516221,394201.075659735,36200.0,142035.1060917919
A,3,41,2.0370677580425576,2.2717352,1.824903978156982,2.718566404533448,15,668196.164089428,5230779.397775451,1089099.9999999995,1869541.8872275585
A,3,42,2.28896426089614,2.301085,1.8542537820815423,2.747916208458008,15,714913.9674737676,5596496.138734502,1945200.0,2000253.320369782
A,0,43,0.9143431571194408,0.9534594,0.5195100846462068,1.387408679468173,15,33075.779241608296,244010.59249800787,82100.00000000001,89837.86037617578
A,4,44,1.1846914308175989,0.9849371,0.5928777315808398,1.376996412019624,15,39163.1604193287,238229.97875976906,153000.00000000003,96591.0973458693
A,4,45,0.6414741105040995,0.73598325,0.3439239123059374,1.1280425927447215,15,22076.179280291173,134289.66571464375,43800.0,54448.16527055604
A,0,46,2.133762384787345,1.9783576,1.5444082560710726,2.4123068508930388,15,350274.2856719372,2584085.3320276877,1360699.999999998,951387.8481948943
A,1,47,0.9527924430440922,0.75789773,0.2479872563077074,1.2678082129763502,15,17700.570180007195,185271.32735441907,89700.00000000003,57266.116177675125
A,3,48,2.398044226842014,2.3240123,1.8771810663222648,2.770843492698731,15,753669.7186825654,5899884.26914161,2500599.9999999995,2108687.870916649
A,0,49,1.4607475418441969,1.2702098,0.83626049186514,1.704159086687106,15,68589.95088349744,506009.98489665956,288899.99999999994,186298.6895408713
A,1,50,1.212187604403958,1.3273653,0.8174548008633715,1.8372757575320144,15,65683.27531432203,687504.8362123016,163000.00000000003,212503.11471334472
A,2,51,1.669037800885156,1.6996298,1.2563077038726298,2.142951863388112,15,180429.56574602524,1389798.579284762,466700.0000000002,500760.19514172105
A,2,52,1.4661258704181992,1.834757,1.391434890647837,2.27807905016332,15,246283.25831298408,1897051.190528336,292499.99999999994,683529.0864805428
A,1,53,0.798650645445269,0.603235,0.0933245279980761,1.1131454846667188,15,12397.22627356081,129761.38869300288,62900.00000000001,40108.36883103876
A,3,54,0.404833716619938,0.66213983,0.2153086197852474,1.108971046161713,15,16417.56028881027,128520.09744394722,25399.999999999996,45934.58848424488
A,1,55,0.8998205024270963,0.65651894,0.1466084578229052,1.166429414491548,15,14015.495549269006,146699.763766704,79400.00000000001,45343.907226181494
A,2,56,1.1931245983544616,1.0803564,0.6370342797240702,1.5236784392395528,15,43354.50976106985,333947.6865800173,156000.0,120325.14674431854
A,0,57,1.975431808509263,1.8480017,1.414052421110135,2.2819510159321013,15,259449.2509016386,1914040.0283006239,945000.0000000001,704695.8274193305
A,1,58,2.2112273656299823,2.7165837,2.206673250455962,3.2264942071246043,15,1609434.2916750994,16845899.565719154,1626400.0000000007,5206953.508579935
A,4,59,2.494057145221748,2.4439542,2.0518948891354665,2.8360135695742503,15,1126924.6772951314,6855096.449350353,3119299.999999998,2779420.1391099403
