No,Region,A_km2,H_m,L_km,D_km,J_permille,V_landslide_1e4m3
1,Gaochuan,0.22326677021813912,0.0703648386993556,0.1593815389678846,-0.02346581743915336,0.0553688672802042,-0.007348877688607992
2,Gaochuan,-0.20329723808442343,-0.20981100103250655,-0.0385650702129023,-0.0054554558712950835,0.026823736927352758,-0.14054069920652246
3,Gaochuan,-0.05257952782808146,-0.36644655681939686,-0.014115517403495094,0.009185550224988513,-0.010008342057340134,-0.3949749292336668
4,Gaochuan,-0.1813523568624388,-0.371230496400714,-0.13784894759808075,-0.030343203324844137,0.008837578625437277,-0.44841415536630747
5,Gaochuan,0.18588096605941115,0.09508251651245188,0.12335854108790079,0.011919157955104698,0.04001205470759172,0.5001406061327096
6,Gaochuan,0.22152144585616526,0.06855481893034142,0.06295259139070661,0.0606513285239771,0.014614937923950813,0.32118095677738584
7,Gaochuan,0.15381379601567066,-0.1436788647547556,0.0013051740888336753,-0.009610534425026162,0.04098728222161437,0.04748978704297508
8,Gaochuan,-0.18221829549390722,-0.25382214015063076,-0.14487451614345226,-0.024272157575528176,0.004018665390210532,-0.0937745127853265
9,Gaochuan,0.0540922454948042,0.10054466605191606,0.03206184555149924,-0.002789858382282917,0.01060973380096992,0.5614512514776165
10,Gaochuan,-0.21056000182487025,-0.3230713671943856,-0.24850064730586285,-0.023635202299720014,-0.002993028738086526,-0.3258292533801377
11,Gaochuan,0.05611925083751673,0.0410939622489041,-0.1234840492272635,-0.018872829947154345,-0.028714491505156092,0.4126255665987109
12,Gaochuan,-0.12276580445244438,-0.19957288530875095,-0.20887912103145045,-0.013892770665858782,-0.060598689951106476,-0.1612129698637951
13,Gaochuan,0.35173049292701286,0.08858422664669068,0.1282288541186018,0.059723562246441465,0.04034639394917729,0.4354856309947335
14,Gaochuan,0.06949275238429253,0.1059975278290722,-0.16803770736951829,-0.022076951328866563,-0.060347968474543795,-0.621218369303039
15,Gaochuan,0.10204060712134858,-0.03708651892091006,-0.029489892551730346,-0.022277209904792296,0.007855727878869357,0.24121200189065395
16,Gaochuan,-0.20086555526717867,0.13230961941474362,-0.0937612225017001,0.07978690082792815,-0.05108364835862032,-0.20536426748469927
17,Gaochuan,0.11627732451280016,0.09056549252957254,-0.16627419900740814,0.07069648334885598,-0.06680914737979826,-0.05070192471696903
18,Gaochuan,0.14573653216767138,0.10014137550900087,-0.14715304405738233,0.058990272000462744,-0.051098477219434925,0.4434632845499667
19,Gaochuan,-0.12576312365171227,-0.23027196604420236,-0.21412893427322374,-0.00211523380054026,-0.06924491495029407,0.31996819530084314
20,Gaochuan,0.07504454351221393,0.016028000820728836,0.041243238752619586,0.037439417889720404,0.039740501743996,0.19090314988761378
21,Gaochuan,-0.1303912683871421,-0.09258200824797065,-0.21657700140769015,-0.015273035299424892,-0.10722887938148039,-0.12233484061620335
22,Qingping,-0.10083906089797358,-0.15913334073203025,-0.20711737415583906,-0.020955208350695382,-0.075181967636276,-0.1877783457003145
23,Qingping,-0.14557596353442379,-0.2258874728300166,-0.21483705268220113,-0.019776285754329978,-0.06889427112336986,-0.17945945707725755
24,Qingping,-0.14129765640326072,-0.20162353091668864,-0.19188755734442692,-0.021184288995662277,-0.04807811561725677,-0.1664362516894919
25,Qingping,-0.12655957878252755,-0.18302562254206922,-0.20660442906457724,-0.022110209800257845,-0.06117339836565421,-0.2179372362717088
26,Qingping,0.14518026963812306,0.06035122729539637,0.15831222097434888,0.04900950018538677,0.0481446120625116,0.5197988689714906
27,Qingping,-0.12676219824533175,0.1251737118172622,0.048861672821540976,-0.008156916003822715,0.01074977801071007,0.3241553629528628
28,Qingping,0.11432181718626014,0.06246724223360631,0.11286182252129874,-0.005409487909800929,0.04004135086883637,0.11620762343200047
29,Qingping,0.1788319120038929,0.072647646859617,0.11784040950144387,0.03179914818465418,0.062342106699963734,0.3019018786112498
30,Yingxiu,0.14704433592626676,0.07960000631003403,-0.0517481752701501,0.05532958658982478,-0.010575424062034006,-0.026543914502723823
