dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
Korea,3,4,4.072507235528804,3.9940028,3.571274165551287,4.416731472571271,15
Korea,3,8,3.4665710723863543,3.3556437,2.9329150957270684,3.7783724027470527,15
Korea,3,15,4.315823457751156,4.1910725,3.7683438104792657,4.61380111749925,15
Korea,3,18,2.812244696800369,2.9901056,2.567376975457293,3.4128342824772773,15
Korea,3,22,3.2355284469075487,3.3759284,2.9531997484370294,3.7986570554570136,15
Korea,3,25,3.550839605065785,3.2783914,2.85566270772658,3.7011200147465644,15
Korea,3,32,4.131682809461406,3.789383,3.3666542810603204,4.212111588080305,15
Korea,3,37,3.231214647962601,3.0721264,2.6493977350398126,3.494855042059797,15
Korea,3,41,3.059941888061955,3.2118163,2.7890876573725762,3.6345449643925605,15
Korea,3,43,2.837588438235511,2.9151003,2.492371682564837,3.337828989584821,15
Korea,3,47,2.816241299991783,2.8844368,2.461708192269427,3.307165499289411,15
Korea,3,54,3.1986570869544226,3.3134146,2.8906859201594415,3.7361432271794257,15
