dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
A,3,4,2.4554387514664135,2.3736806,1.9268493783950191,2.8205118047714848,15
A,3,8,2.261120063568901,2.3207989,1.8739676607131344,2.7676300870896,15
A,3,15,1.2581581933407944,1.2798357,0.8330044878005367,1.7266669141770024,15
A,3,18,0.9324737646771533,1.47245,1.0256188047408443,1.91928123111731,15
A,3,22,0.6344772701607315,0.7716877,0.32485647325509603,1.2185188996315617,15
A,3,25,2.817763632280368,2.391486,1.944654716300903,2.8383171426773686,15
A,3,32,1.9929950984313416,1.9937103,1.5468790662764889,2.4405414926529545,15
A,3,37,2.1775364999298623,2.2101972,1.7633659971236568,2.6570284235001225,15
A,3,41,2.0370677580425576,2.2717352,1.824903978156982,2.7185664045334477,15
A,3,42,2.28896426089614,2.301085,1.8542537820815426,2.747916208458008,15
A,3,48,2.398044226842014,2.3240123,1.8771810663222652,2.770843492698731,15
A,3,54,0.40483371661993806,0.66213983,0.2153086197852474,1.108971046161713,15
