dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
A,0,5,2.3286445849439072,2.2988591,1.8649098220043,2.7328084168262663,15
A,0,6,1.7694511794020376,1.6315866,1.1976372542552767,2.065535849077243,15
A,0,11,0.895422546039408,0.75414276,0.32019346381948566,1.1880920586414518,15
A,0,12,2.9030899869919438,2.3944268,1.9604775252513704,2.8283761200733366,15
A,0,27,2.0358698136955526,2.0213888,1.5874394717387972,2.4553380665607634,15
A,0,28,2.46553155697355,2.313905,1.8799557032756624,2.7478542980976286,15
A,0,35,2.7035836760172325,2.4608312,2.0268818679027376,2.894780462724704,15
A,0,36,1.888179493918325,1.6498973,1.2159480395488558,2.083846634370822,15
A,0,43,0.9143431571194408,0.9534594,0.5195100846462068,1.387408679468173,15
A,0,46,2.1337623847873455,1.9783576,1.5444082560710726,2.4123068508930388,15
A,0,49,1.4607475418441969,1.2702098,0.83626049186514,1.7041590866871061,15
A,0,57,1.975431808509263,1.8480017,1.414052421110135,2.2819510159321013,15
