dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
Korea,4,1,3.3660492098002353,3.2256298,2.7106352518966808,3.7406243611404286,15
Korea,4,3,4.220787776165875,3.9693737,3.4543791483810558,4.484368257624803,15
Korea,4,13,3.8202671571609645,3.5465257,3.0315311621597423,4.06152027140349,15
Korea,4,14,3.7331972651065692,3.989724,3.4747293662002696,4.504718475444017,15
Korea,4,16,4.098643725817057,4.089093,3.5740986536911143,4.604087762934862,15
Korea,4,17,3.85076872692888,3.8523562,3.337361640827955,4.367350750071703,15
Korea,4,19,2.967547976218862,3.3103304,2.795335836308302,3.8253249455520497,15
Korea,4,38,3.4785664955938436,3.1098282,2.594833679096998,3.624822788340746,15
Korea,4,39,3.0269416279590295,2.954549,2.4395545195510997,3.4695436287948476,15
Korea,4,44,2.568201724066995,2.8163204,2.3013258646896495,3.3313149739333974,15
Korea,4,45,2.593286067020457,2.8339047,2.318910188572706,3.348899297816454,15
Korea,4,62,3.113943352306837,3.2598784,2.744883842366041,3.774872951609789,15
