fold,model,R2,RMSE,MAE,time_s
0,TabPFN,0.8404894001334342,0.15512612654431,0.1303127241496826,9.346687078475952
0,Ridge,0.7831580230088501,0.18086804876427942,0.14691246727579632,0.011862516403198242
0,Lasso,0.793091546655829,0.1766767051331987,0.14259694172132775,0.0
0,ElasticNet,0.7882713694535843,0.17872280359903775,0.14478285422824733,0.0020062923431396484
0,SVR,0.7003810620536948,0.21260565131021475,0.1646026561538591,0.0
0,KNN,0.7041682195150485,0.2112577198082891,0.16202086357621032,0.0
0,RF,0.7822070258348371,0.1812642285740723,0.1359906766297942,0.08152890205383301
0,GBR,0.7365662612201938,0.1993544213780002,0.15668659952357666,0.03220987319946289
0,XGBoost,0.8223041065142709,0.16373022928900596,0.13009598466450484,0.09769177436828613
0,AdaBoost,0.7453024347737036,0.19602098670423873,0.15511393434451087,0.08627653121948242
0,MLP,0.45682678877699734,0.2862591291118527,0.21283075082802805,0.32347798347473145
1,TabPFN,0.7987209272928381,0.23341126998078673,0.19956695779528583,10.34525203704834
1,Ridge,0.7764011319116522,0.2460125771061193,0.2007022888779118,0.0
1,Lasso,0.7729958078049768,0.24787883645863212,0.20367192780354998,0.0
1,ElasticNet,0.7760708484585013,0.24619420570913214,0.20071765409270861,0.0
1,SVR,0.7192597265248023,0.27566070938305115,0.2327936485163524,0.0069391727447509766
1,KNN,0.7324331572760534,0.26911546590293484,0.2216864460864102,0.0
1,RF,0.7943487204339719,0.23593274365672887,0.21039656443435092,0.09909605979919434
1,GBR,0.7850434465612135,0.24121141434456855,0.20577458842169813,0.04294610023498535
1,XGBoost,0.7729298381956724,0.2479148518334234,0.20911109833345415,0.1385056972503662
1,AdaBoost,0.7376566233948798,0.2664756695660918,0.23042294655920761,0.1505262851715088
1,MLP,-0.2902263802248668,0.5909564386374462,0.498832413319015,0.047921180725097656
2,TabPFN,0.8270308137460021,0.20827532652974146,0.1670322692690987,9.485013484954834
2,Ridge,0.6863207332160515,0.2804764229153147,0.2260100731993759,0.0031669139862060547
2,Lasso,0.6924733985380226,0.2777120966653738,0.22551418352087893,0.0005314350128173828
2,ElasticNet,0.6865245699866054,0.28038527774699074,0.226394274531804,0.0005426406860351562
2,SVR,0.730369124332409,0.2600388663042575,0.1978030479771129,0.0010085105895996094
2,KNN,0.7860604927277477,0.2316322087848687,0.18803934858705032,0.0
2,RF,0.8606110127490103,0.18696817299141977,0.13878669198937701,0.07970356941223145
2,GBR,0.8546272308699644,0.19093914981732188,0.13930851343529296,0.03802895545959473
2,XGBoost,0.8928820907551084,0.1639020919184531,0.11988622793377683,0.12191629409790039
2,AdaBoost,0.8542165146230939,0.19120868619273393,0.14465180784717527,0.12375545501708984
2,MLP,-0.09745055266542768,0.5246213173804548,0.3405304245943113,0.07921552658081055
3,TabPFN,0.9201319870654476,0.11308932465876351,0.09533909318627742,11.132842063903809
3,Ridge,0.8728028465377836,0.14271639500810654,0.10715562915129422,0.004628658294677734
3,Lasso,0.8697589874986904,0.1444139186541667,0.10723020779741803,0.0
3,ElasticNet,0.8717349233470062,0.1433142526567505,0.1072283506608653,0.0024900436401367188
