fold,model,mode,R2,RMSE,MAE,time_s
0,TabPFN,zero-shot,0.645292640789013,0.4382231201356455,0.3944203585329727,8.324986934661865
0,Ridge,default,-0.0002062502479420747,0.7358765595958949,0.6069683779128313,0.0
0,Ridge,bo,0.30858550869513246,0.6118281093930316,0.5539007484321862,0.06431412696838379
0,Lasso,default,0.07562819653508601,0.7074300960349533,0.5971820468240816,0.0
0,Lasso,bo,0.21162874190423853,0.6533194360979062,0.5771058317579607,0.07920026779174805
0,ElasticNet,default,-0.00827096049858067,0.7388373071494869,0.6075124634373595,0.0
0,ElasticNet,bo,0.20826238332700064,0.6547127927772456,0.5780209420925381,0.07935261726379395
0,SVR,default,0.4381958701557146,0.5515090595181955,0.5032280632642782,0.0
0,SVR,bo,0.5666766213486747,0.4843577438281322,0.3891039476451792,0.13053369522094727
0,KNN,default,0.6720944015856596,0.42134185502318916,0.33069244865215613,0.0020051002502441406
0,KNN,bo,0.6968275287946797,0.4051399489884835,0.3372095450622698,0.1248631477355957
0,RF,default,0.6256481295665908,0.45019450617158724,0.3965338427816343,0.07478499412536621
0,RF,bo,0.6050460305877704,0.46241661334595174,0.39128886911222677,5.810292482376099
0,GBR,default,0.5842363418128687,0.4744423514765425,0.3594940044157034,0.03179931640625
0,GBR,bo,0.6199857585239724,0.45358650338739415,0.3999699615851635,4.7789223194122314
0,XGBoost,default,0.7369372759291217,0.3773895269029738,0.3257503638608332,0.09426259994506836
0,XGBoost,bo,0.7038926744179244,0.4003914206471314,0.33602550923258817,2.8567891120910645
0,AdaBoost,default,0.6040555440526169,0.4629960867327352,0.37788105343338185,0.09514713287353516
0,AdaBoost,bo,0.5992337658840559,0.4658067193496445,0.39464794203650877,8.30618953704834
0,MLP,default,-1.0926537120285014,1.064409816738137,0.9583302135534221,0.0
0,MLP,bo,0.25360883952737345,0.6356871476036178,0.46726534945535975,6.342688083648682
1,TabPFN,zero-shot,0.37916043726144977,0.5152911431278463,0.4407895995669584,7.971391916275024
1,Ridge,default,-0.46257685076902666,0.7909013799279555,0.6703913117164234,0.0
1,Ridge,bo,-0.3019805313214736,0.7462171581266092,0.6475277335012968,0.0739738941192627
1,Lasso,default,-0.3742004247892343,0.7666339094313904,0.6576930561313331,0.0020067691802978516
1,Lasso,bo,-0.3581939873352631,0.7621560254365215,0.6549610922013479,0.06086564064025879
1,ElasticNet,default,-0.4264821384262536,0.7810811457960347,0.6658972563596436,0.0
1,ElasticNet,bo,-0.3388350276609038,0.7567048521160874,0.6523267334719196,0.07979345321655273
1,SVR,default,-0.20055667468563887,0.7165629001922813,0.5577268439457467,0.0
1,SVR,bo,0.07235556631865814,0.6298741091378789,0.5242032888811741,0.1462841033935547
1,KNN,default,0.02702191284654143,0.6450813934057903,0.5475076058926952,0.0
1,KNN,bo,0.22691980482969598,0.5750098171397682,0.5016590206074777,0.12954235076904297
1,RF,default,0.46263167392456017,0.479401090767513,0.36887629034718517,0.07119512557983398
1,RF,bo,0.4359276277522649,0.4911683796467273,0.3880999030431456,6.28455114364624
1,GBR,default,0.3465578444669115,0.5286479592091585,0.4073590438677832,0.03678417205810547
1,GBR,bo,0.4580051619006005,0.48146038728045687,0.37048208000978383,5.340059757232666
1,XGBoost,default,0.1985791802988125,0.5854546987641713,0.4349991050339829,0.08636808395385742
1,XGBoost,bo,0.3939987004469473,0.5090960921706281,0.3982017099558945,3.0069565773010254
1,AdaBoost,default,0.40546077300438754,0.504258517549834,0.3788369860363572,0.12553739547729492
1,AdaBoost,bo,0.3634659386431699,0.5217636380643086,0.39065100982933404,13.803518295288086
1,MLP,default,-1.284839706201312,0.9885322772703231,0.8346198816146647,0.009759664535522461
1,MLP,bo,-0.6362030536539915,0.8365301245108195,0.6223440190504127,6.450949430465698
2,TabPFN,zero-shot,0.8038404976836228,0.30331185121533677,0.20406279274107708,7.967373609542847
2,Ridge,default,0.44985717124521885,0.5079517165693862,0.4428797952305275,0.0
2,Ridge,bo,0.41123022493616357,0.5254815324334351,0.46151102744645306,0.07704758644104004
2,Lasso,default,0.43856795038559704,0.51313696912277,0.4457883614089406,0.0
2,Lasso,bo,0.29944789598141697,0.5731983414492117,0.5013153632900441,0.06728506088256836
2,ElasticNet,default,0.44346084906368255,0.51089607333275,0.44423699867946514,0.002004861831665039
2,ElasticNet,bo,0.2740370339337346,0.5835014470410267,0.5116931905469767,0.07530641555786133
2,SVR,default,0.613645877223896,0.4256743481895486,0.3341849443803575,0.0
2,SVR,bo,0.806781749840656,0.30102930544097745,0.22668600497572433,0.21346783638000488
2,KNN,default,0.6342893982589662,0.4141460079512802,0.3217279280544401,0.0
2,KNN,bo,0.6158698256083988,0.4244474374551516,0.34105669822214324,0.12496471405029297
2,RF,default,0.663107516260504,0.39749380553324704,0.2780918798532101,0.08508729934692383
2,RF,bo,0.5959261447680815,0.43532647462683133,0.29609622404197383,10.81516718864441
2,GBR,default,0.6134524755317977,0.425780877192624,0.33692480394275376,0.029987096786499023
2,GBR,bo,0.5587363259887326,0.45491870327816525,0.3728507047376177,3.2007675170898438
2,XGBoost,default,0.5433745893294402,0.46276951510797387,0.33757202158500704,0.09576749801635742
