TabPFN,Ridge_default,Ridge_bo,Lasso_default,Lasso_bo,ElasticNet_default,ElasticNet_bo,SVR_default,SVR_bo,KNN_default,KNN_bo,RF_default,RF_bo,GBR_default,GBR_bo,XGBoost_default,XGBoost_bo,AdaBoost_default,AdaBoost_bo,MLP_default,MLP_bo
0.645292640789013,-0.0002062502479420747,0.30858550869513246,0.07562819653508601,0.21162874190423853,-0.00827096049858067,0.20826238332700064,0.4381958701557146,0.5666766213486747,0.6720944015856596,0.6968275287946797,0.6256481295665908,0.6050460305877704,0.5842363418128687,0.6199857585239724,0.7369372759291217,0.7038926744179244,0.6040555440526169,0.5992337658840559,-1.0926537120285014,0.25360883952737345
0.37916043726144977,-0.46257685076902666,-0.3019805313214736,-0.3742004247892343,-0.3581939873352631,-0.4264821384262536,-0.3388350276609038,-0.20055667468563887,0.07235556631865814,0.02702191284654143,0.22691980482969598,0.46263167392456017,0.4359276277522649,0.3465578444669115,0.4580051619006005,0.1985791802988125,0.3939987004469473,0.40546077300438754,0.3634659386431699,-1.284839706201312,-0.6362030536539915
0.8038404976836228,0.44985717124521885,0.41123022493616357,0.43856795038559704,0.29944789598141697,0.44346084906368255,0.2740370339337346,0.613645877223896,0.806781749840656,0.6342893982589662,0.6158698256083988,0.663107516260504,0.5959261447680815,0.6134524755317977,0.5587363259887326,0.5433745893294402,0.5651350940933642,0.656353782349067,0.6227734391606095,-0.49909645499607613,0.5019362229545576
0.9210247500907338,0.3088281720215593,0.5194535325216496,0.2997805996702463,0.43752327769634114,0.30030687249185883,0.4411118720346937,0.6029512223234971,0.4592066954823544,0.9108720670217672,0.9025263882984398,0.8659746110764782,0.8528194074527234,0.7487297848282137,0.7709628861158072,0.7526931881873413,0.8448822503985889,0.8473117094410291,0.8787570434808405,0.9228756468012306,0.9216749536257449
0.8555387959749409,0.5633924109383488,0.5939107541337874,0.5403744256564387,0.5157315448640776,0.5510217146290088,0.5012332745672925,0.7501375457160127,0.4566206032543615,0.8592707426712218,0.7088189459486077,0.8652665351557234,0.892768422811569,0.7551045784416478,0.8701269618008866,0.8684663203505548,0.7719000095276767,0.8035848340421833,0.8215437237769047,0.6470364516467899,0.07377725662482715
0.5808038741625265,-0.2938688927509139,0.07750099425151935,-0.15745931396936985,-0.2614291505866757,-0.26244003188259213,0.04254514797393605,0.5580765689587305,0.4120919424365683,0.4474146262047035,0.5976592884715357,0.7514775609406082,0.7658858314173931,0.6853279500046459,0.7156937337760033,0.6447766354053914,0.6691538751271158,0.7666375905796214,0.7183538930308861,-1.1231511956025293,-0.2038088124668691
0.6673775978294445,0.3685759349625065,0.405842262398894,0.36131780697933913,0.3787304598732172,0.3647301386613322,0.40044500781530923,0.4727836037013349,0.5864421808611378,0.5958661253547762,0.6471863397688896,0.6800648062836335,0.712133671782113,0.6305828026713071,0.7280773880540246,0.6695617350801985,0.5441827991716265,0.7368228513610616,0.5948623849066831,-1.5645151777245698,0.2143686159020869
0.726373601017765,0.5090364648177278,0.3441205327711053,0.509263774997673,0.011047214709465014,0.5126682968011381,0.1876934033079447,0.3513439007305077,0.7270757996574638,0.7961695356103979,0.7985468694561735,0.7647347298115662,0.7239244513093894,0.7592025984363323,0.7532131458749527,0.755170643556555,0.7351269377833567,0.7528545871044579,0.7514388633695265,0.7808572153361271,0.6943567413844566
0.7269926624251545,0.2661712959492597,0.2211753760538111,0.2589897470746506,0.18702162900203456,0.26307747285525795,0.20835680432931314,0.7096158218235395,0.5377743966940468,0.5353214615595118,0.5226652755421033,0.5859619969921104,0.5677958465301919,0.6620288270663688,0.7072024176023475,0.5131905818545472,0.5546360560548812,0.5974195622118323,0.6224979120137587,0.5761424264599866,0.3866868949575125
0.6407899284450715,-0.45070885309046016,0.04202632368681036,-0.41684082058560623,0.03931442129803753,-0.44625424674926406,0.20331293902564784,-0.1064969071086097,0.09025311775708944,0.6261454352154987,0.6327724000736213,0.660030097257988,0.6515347452897844,0.32327105551679214,0.7151698411480649,0.3371525634149649,0.5971481001961553,0.5137240638760063,0.5160765093320522,0.34410049325633196,0.5619005588689815
