fold,model,n_train,R2
0,TabPFN,10,0.6162735883321566
0,RF,10,0.694803573016172
0,XGBoost,10,0.4242111185593016
0,SVR,10,0.06560061084807056
0,Ridge,10,-2.4263206415985463
0,GBR,10,0.7260752589316337
0,MLP,10,-0.39864123983666344
0,TabPFN,15,0.4570437873731277
0,RF,15,0.5182475756657914
0,XGBoost,15,0.4343873449751484
0,SVR,15,0.5904719748983409
0,Ridge,15,0.02295962647256866
0,GBR,15,0.4848867738854131
0,MLP,15,0.16442998759711158
0,TabPFN,20,0.43994265248484077
0,RF,20,0.4986012354724537
0,XGBoost,20,0.4175057222214952
0,SVR,20,0.11528692076175706
0,Ridge,20,-0.7265439266206046
0,GBR,20,0.46596057842316596
0,MLP,20,-0.657188346550593
0,TabPFN,25,0.6667887578228487
0,RF,25,0.6048581050420075
0,XGBoost,25,0.6042193028436726
0,SVR,25,0.21285929061820585
0,Ridge,25,0.10860394294461673
0,GBR,25,0.6679824334011006
0,MLP,25,-1.1288433378627634
0,TabPFN,30,0.5931544638362853
0,RF,30,0.5232999271005987
0,XGBoost,30,0.2665142892098922
0,SVR,30,0.4259605832112513
0,Ridge,30,0.1707246750906647
0,GBR,30,0.373920724665904
0,MLP,30,-0.4539169450321334
0,TabPFN,35,0.639593012196984
0,RF,35,0.6126643969270182
0,XGBoost,35,0.6119340239549956
0,SVR,35,0.14871003071363464
0,Ridge,35,-0.037986605369372484
0,GBR,35,0.5485990831213163
0,MLP,35,0.5173943921419321
0,TabPFN,40,0.6440702082320586
0,RF,40,0.5545860151209279
0,XGBoost,40,0.5320788117134583
0,SVR,40,0.3483408017086973
0,Ridge,40,0.010952437084683853
0,GBR,40,0.4672094868715828
0,MLP,40,0.4037273114390494
0,TabPFN,45,0.6097003127493004
0,RF,45,0.6079384522365735
0,XGBoost,45,0.5614450562758778
0,SVR,45,0.3028452375186863
0,Ridge,45,-0.19422219213729375
0,GBR,45,0.6589743744528149
0,MLP,45,0.35166547911040236
0,TabPFN,48,0.645293198894614
0,RF,48,0.6295681333697092
0,XGBoost,48,0.7369372759291217
0,SVR,48,0.4381924994779577
0,Ridge,48,-0.000206250247943629
0,GBR,48,0.5842363418128687
0,MLP,48,-1.5831819034590668
1,TabPFN,10,0.16375448815280913
1,RF,10,0.526012496588053
1,XGBoost,10,0.6441375066353361
1,SVR,10,-0.002576548803117973
1,Ridge,10,-0.2242719614244959
1,GBR,10,0.7340660657234549
1,MLP,10,-1.0609775335623302
1,TabPFN,15,0.28049049412162674
1,RF,15,0.12042027857563364
1,XGBoost,15,0.007726554553570408
1,SVR,15,-0.5811357857716448
1,Ridge,15,-0.13685010621780025
1,GBR,15,-0.30727881366528154
1,MLP,15,-1.8933745700978108
1,TabPFN,20,-0.029460436539759716
1,RF,20,0.6110248108496599
1,XGBoost,20,0.6958999774638264
1,SVR,20,0.10694533813353235
1,Ridge,20,-0.33753372562256656
1,GBR,20,0.6272173415462108
1,MLP,20,-1.1362300003680934
1,TabPFN,25,0.45754835461023047
1,RF,25,0.5187696977552521
1,XGBoost,25,0.4379888457062471
1,SVR,25,-0.11401808989628393
1,Ridge,25,-0.9090873860540036
1,GBR,25,0.42050056169827654
1,MLP,25,-5.269586798797273
1,TabPFN,30,0.2921841006981136
1,RF,30,0.49645010984750404
1,XGBoost,30,0.5236825911555847
1,SVR,30,0.018237188361131307
1,Ridge,30,-0.591539383648555
1,GBR,30,0.4096900804293938
1,MLP,30,-2.192239038785475
1,TabPFN,35,0.2424784807140593
1,RF,35,0.2890863676099873
1,XGBoost,35,0.1010771116527388
1,SVR,35,-0.28584571179753415
1,Ridge,35,-0.4621775805992543
