fold,model,mode,R2,RMSE,MAE,time_s
0,TabPFN,zero-shot,0.9371797101026909,0.18442090772563938,0.15624178758260213,11.030904293060303
0,Ridge,default,0.5530995732722865,0.4918872571707214,0.40392905179801547,0.0060002803802490234
0,Ridge,bo,0.629649741031685,0.4477818780941029,0.3722923586036348,0.0872960090637207
0,Lasso,default,0.6143652273303895,0.4569285354607735,0.38283101949341236,0.0019960403442382812
0,Lasso,bo,0.6645993925697169,0.42612999954403497,0.35567999630142416,0.0786123275756836
0,ElasticNet,default,0.5526658260527542,0.49212590427604647,0.4038043824941373,0.00099945068359375
0,ElasticNet,bo,0.6581518602108412,0.4302063314202839,0.3627682078736119,0.13954830169677734
0,SVR,default,0.6903171009304465,0.4094668987136157,0.31346556152547517,0.011434316635131836
0,SVR,bo,0.78568861792774,0.3406299303290629,0.26746931520176553,0.23374199867248535
0,KNN,default,0.7031777495727809,0.400874484010969,0.31771783618936583,0.002000570297241211
0,KNN,bo,0.8244669132985903,0.3082759765116003,0.2628098256713497,1.7546324729919434
0,RF,default,0.9211124336888559,0.20666382648971238,0.15737514509256043,0.10314750671386719
0,RF,bo,0.9222798123171927,0.20512902110740647,0.15741369861936716,15.986461400985718
0,GBR,default,0.8803258562689942,0.25454252716882136,0.2065241025503215,0.05783414840698242
0,GBR,bo,0.8821640806759194,0.25258004390422445,0.20179234845371755,6.98402214050293
0,XGBoost,default,0.9126820232413737,0.21742627188772046,0.18313076220117333,0.20974111557006836
0,XGBoost,bo,0.9220416552895352,0.2054430678936305,0.16149352882153326,7.1147143840789795
0,AdaBoost,default,0.9105505050645968,0.22006406632849518,0.16038764408405962,0.11106634140014648
0,AdaBoost,bo,0.9133436800262505,0.21660092560412658,0.1549476623421038,14.268858194351196
0,MLP,default,0.8651124098085168,0.270237855072295,0.21158035229441366,0.05813765525817871
0,MLP,bo,0.6825071857671527,0.41459793762240166,0.3317041904303099,16.124057292938232
1,TabPFN,zero-shot,0.8639333081958235,0.2412342113452277,0.20091812961518163,9.986366271972656
1,Ridge,default,0.054528147959336803,0.6358977489055293,0.5210356599607245,0.00128173828125
1,Ridge,bo,0.24294717402933141,0.5690180960148405,0.4874191858470663,0.090057373046875
1,Lasso,default,0.11089279443088707,0.6166518668218149,0.5074939037111881,0.0
1,Lasso,bo,0.08781971867279426,0.6246019353372543,0.5116603357446268,0.10164999961853027
1,ElasticNet,default,0.0556198026504926,0.6355305347718695,0.5195790764988416,0.001003265380859375
1,ElasticNet,bo,0.34172915297166195,0.5305976187122579,0.47259041874865676,0.09789061546325684
1,SVR,default,0.5664018992179414,0.43063236929825427,0.33882103598962976,0.0
1,SVR,bo,0.4352909684350815,0.49144548835967233,0.432408043104967,0.21467876434326172
1,KNN,default,0.28213870990973144,0.5540937521836585,0.4252198484512064,0.006227970123291016
1,KNN,bo,0.6151305545733758,0.40571372767344394,0.3546423919062322,0.2250990867614746
1,RF,default,0.8307356617247632,0.269057882228371,0.225589362582607,0.10511279106140137
1,RF,bo,0.8310894253968142,0.2687765687199908,0.22520915306401693,14.53700852394104
1,GBR,default,0.7755933112674352,0.30979962262136873,0.2230170858832141,0.05852532386779785
1,GBR,bo,0.8333021745322696,0.26701026202012756,0.22772159042909854,8.886056900024414
1,XGBoost,default,0.8157888157114059,0.28068614958230154,0.22342775776919385,0.09584259986877441
1,XGBoost,bo,0.7890044032497238,0.30039982941749355,0.23668677263676519,7.712929964065552
1,AdaBoost,default,0.788828162940029,0.3005252621491227,0.23804407865422894,0.10779643058776855
1,AdaBoost,bo,0.7756117366356028,0.30978690399584047,0.2586349824026846,17.285479068756104
1,MLP,default,-0.3203452900887258,0.751461518807876,0.5952878066363175,0.09012699127197266
1,MLP,bo,-0.17831515068152148,0.7098943449349538,0.6180601566589948,11.00151014328003
2,TabPFN,zero-shot,0.9359555874147379,0.17331068051431509,0.12623735103461978,9.876881837844849
2,Ridge,default,0.7296238221102005,0.35609749322830586,0.2879157230105501,0.003468036651611328
2,Ridge,bo,0.7120168469979558,0.3675092253426594,0.3077321689693033,0.09599971771240234
2,Lasso,default,0.7124447680933376,0.36723607843628703,0.304166911677721,0.0
2,Lasso,bo,0.6724182794102151,0.39196251357879697,0.34010644214413316,0.08095645904541016
2,ElasticNet,default,0.7248770320447411,0.3592097599171215,0.291634988749314,0.0
2,ElasticNet,bo,0.6585287594758472,0.40018588854184484,0.3523636174289782,0.11096692085266113
2,SVR,default,0.8400467782350625,0.2738931685669503,0.2152112843088998,0.0
2,SVR,bo,0.8684307773508282,0.24840587245548532,0.1979729493535367,0.19097042083740234
2,KNN,default,0.7476608848638094,0.344014693212769,0.28202174871410474,0.0
2,KNN,bo,0.7617275597741069,0.3342886339416342,0.291668353832042,0.30677032470703125
2,RF,default,0.9185338729742092,0.19546690625488639,0.15416154241722796,0.10829663276672363
2,RF,bo,0.9167025981857807,0.19765164437707675,0.15902634781123187,16.727808713912964
2,GBR,default,0.9235869874728554,0.1893077375109843,0.1253148455554516,0.058715105056762695
2,GBR,bo,0.9121761836380837,0.2029508417343309,0.1443075267844815,8.667582273483276
2,XGBoost,default,0.9038120388137354,0.2123953791001708,0.14425824316290806,0.08578729629516602
2,XGBoost,bo,0.8742853695257103,0.2428161762596051,0.18485794299298364,8.796380043029785
2,AdaBoost,default,0.9096951953940376,0.20579751807508553,0.15362125707009192,0.11747908592224121
2,AdaBoost,bo,0.9075288885700994,0.2082513104690782,0.16521048897999172,12.285375595092773
2,MLP,default,0.8630223621253917,0.25346006421694317,0.19406028901884131,0.04942011833190918
2,MLP,bo,-0.3278211188105875,0.7891407860570344,0.6163753089564951,8.805383682250977
3,TabPFN,zero-shot,0.9722050046393127,0.1089468401758115,0.0902354952186374,10.078536033630371
3,Ridge,default,0.5350519662747453,0.44558805854782413,0.3267516619568741,0.0
3,Ridge,bo,0.5093059927374524,0.4577588114737131,0.34212184562080705,0.10345673561096191
3,Lasso,default,0.5006422514339239,0.46178224677408536,0.3341609959915646,0.0
3,Lasso,bo,0.5769050096638075,0.42506003864439273,0.35275000578669197,0.09600830078125
3,ElasticNet,default,0.5217970981223523,0.4518948994152267,0.32944824234392217,0.0015044212341308594
3,ElasticNet,bo,0.5688348984469445,0.42909468657753574,0.35244819808431244,0.10860204696655273
3,SVR,default,0.7002499054746398,0.35777583187688916,0.20739098607431786,0.002003192901611328
3,SVR,bo,0.6496020927879804,0.38682282085412384,0.2602896346531176,0.5006887912750244
3,KNN,default,0.9621723137580668,0.12709727079875013,0.09827095671875359,0.0
3,KNN,bo,0.953378647889405,0.14109894554134117,0.12161295856170788,0.1874833106994629
3,RF,default,0.9254445003670426,0.1784313569726352,0.1487098155749311,0.10174417495727539
3,RF,bo,0.9245832478716988,0.17945900209548535,0.15103566710728866,15.855822563171387
3,GBR,default,0.8834720575698581,0.22307267482030924,0.19828762640149944,0.05388641357421875
3,GBR,bo,0.9176359386352269,0.18754272091752078,0.16500393985296125,6.4493408203125
3,XGBoost,default,0.9379722753906692,0.16275122302592013,0.13210998488580172,0.05529665946960449
3,XGBoost,bo,0.9119103239461838,0.19395181240435774,0.16349670249499762,5.26306414604187
3,AdaBoost,default,0.9312294384049499,0.17136914157945968,0.1482501130043866,0.1321122646331787
3,AdaBoost,bo,0.936436034511016,0.16475432623238986,0.14105387208889822,16.73339533805847
3,MLP,default,-0.47182748926910056,0.7927929706749439,0.6191386025765272,0.012667655944824219
3,MLP,bo,0.7332951235159548,0.3374790470200433,0.20973848799402842,9.311599969863892
4,TabPFN,zero-shot,0.8554174021801514,0.2396798194496605,0.1899724225526286,9.21662974357605
4,Ridge,default,0.7143682786272145,0.33688112255844754,0.30619795003743905,0.0021905899047851562
4,Ridge,bo,0.66314359197454,0.36584393838263385,0.33583072139342485,0.0804586410522461
4,Lasso,default,0.7165713084478242,0.3355794538602105,0.30853345417879985,0.0
4,Lasso,bo,0.6292271241000291,0.383819853002187,0.3622048007699237,0.08369803428649902
4,ElasticNet,default,0.716737129399166,0.3354812735289357,0.30665448182313565,0.0
4,ElasticNet,bo,0.6215912735130704,0.38775198391751176,0.36537423928452556,0.09737896919250488
4,SVR,default,0.7644225726367466,0.3059428403678031,0.22288555641772712,0.0
4,SVR,bo,0.7460049187750131,0.3176772467645427,0.2761677324136865,0.15716958045959473
4,KNN,default,0.7948177102780005,0.2855245087415323,0.23230648268497642,0.0
4,KNN,bo,0.7437697817583453,0.31907195272651906,0.2610208429247414,0.12431216239929199
4,RF,default,0.835344222469027,0.2557772678462465,0.2024052584785739,0.11153793334960938
4,RF,bo,0.8421918299959944,0.25040223378455945,0.19389301439008763,12.871567249298096
4,GBR,default,0.7263448216140246,0.3297427779299166,0.2536252121062891,0.0467989444732666
4,GBR,bo,0.7432626507681678,0.31938755033894384,0.2456973447463424,3.60817289352417
4,XGBoost,default,0.9032347825690777,0.19607990841270737,0.17554675244542298,0.09162449836730957
4,XGBoost,bo,0.9248877180630543,0.17275432742569924,0.15461396079130557,6.530485153198242
