TabPFN,Ridge,Lasso,ElasticNet,SVR,KNN,RF,GBR,XGBoost,AdaBoost,MLP
0.8404894001334342,0.7831580230088501,0.793091546655829,0.7882713694535843,0.7003810620536948,0.7041682195150485,0.7822070258348371,0.7365662612201938,0.8223041065142709,0.7453024347737036,0.45682678877699734
0.7987209272928381,0.7764011319116522,0.7729958078049768,0.7760708484585013,0.7192597265248023,0.7324331572760534,0.7943487204339719,0.7850434465612135,0.7729298381956724,0.7376566233948798,-0.2902263802248668
0.8270308137460021,0.6863207332160515,0.6924733985380226,0.6865245699866054,0.730369124332409,0.7860604927277477,0.8606110127490103,0.8546272308699644,0.8928820907551084,0.8542165146230939,-0.09745055266542768
0.9201319870654476,0.8728028465377836,0.8697589874986904,0.8717349233470062,0.7928361844189011,0.9143863064078379,0.791741721883495,0.6838963083584766,0.7691507708423494,0.7911705308438695,0.6956976832717372
0.6474108548254334,0.47915223820846675,0.47497232148249946,0.4761650936402928,0.6148988153719155,0.5514959762855398,0.7781924645850583,0.7573738214925355,0.7765505111715459,0.7406817431243725,0.6106238074432068
0.7817005592980995,0.7421485846320673,0.7380051932650042,0.7399201788210364,0.7327855817275493,0.5664362387613442,0.6846046240754915,0.6870995622005278,0.6297650821536622,0.6671693836683759,0.6938863235990068
0.8108795456189771,0.7870595290880906,0.7883405548684983,0.7889147454249636,0.7219770516285713,0.6670872514690066,0.8845737194446641,0.9032662939610278,0.8944220286773296,0.8985698147196834,0.5321540403739027
0.6256299892599033,0.5218581835226369,0.5444252098974918,0.5310640469544461,0.3142193440129034,0.5805387847480022,0.5370665069350105,0.4907299601671361,0.4990773620956509,0.5741683171910581,-0.12755047395695063
0.7716871164064749,0.7267640886025972,0.7293878774827314,0.7292010143582679,0.7366059484628324,0.6232735005195398,0.863364354846553,0.7991456250571003,0.7614207802261577,0.8666789114101314,0.41063608154537456
0.8468767640721451,0.8092911065239721,0.8008702025803505,0.8044462562462055,0.7615265893498862,0.791466794567363,0.7865610541786645,0.7333623101769129,0.7615175935771901,0.7230238197007736,0.7222111009598489
0.855876525607294,0.8740220985790091,0.8815238146707165,0.8784599672526647,0.6160955493716966,0.827645102670145,0.8372796328843166,0.8765475094376598,0.8365851424328637,0.8044965375146151,0.6203089738923535
0.6924014940215347,0.6893403010683092,0.7007426090081128,0.6952815456716892,0.6218931756863828,0.5227912111461521,0.6028251286440567,0.543205102391722,0.7213958476429528,0.5645599710967899,0.7051568801742494
0.888909905635943,0.7600069073758237,0.7614670231991354,0.7655023929574083,0.8245924446193893,0.7153516704685788,0.8759010537224083,0.8825392563653955,0.8844026246866717,0.8372845754793786,0.6880281456318635
